CustomerSeason,Product.Group,Item.Family,Category.Group,Product.Category,Gender,Fabrication,Shell.Fabric,Product.COO,Shell.Fabric.Unit.Cost,Shell.YY,Fabric.Cost,Trim.Cost,Artwork.Cost,Wash.Cost,CM.Cost,Other.Cost
FA15,,Apparel,Bottoms,Pants,Men,WOVEN,"100% Cotton Denim
7 +9+12X8/76X53)",BANGLADESH,50.4,31.71,76.104,76.02,0,17.43,50.61,0
FA15,WOVEN,Apparel,Jacket / Coat,Jacket / Coat - Jacket/Bomber,Men,WOVEN,"100% Cotton Denim
7 +9+12X8/76X53)",BANGLADESH,50.4,38.64,92.736,92.82,0,21,58.38,0
FA15,WOVEN,Apparel,Bottoms,Pants,Men,WOVEN,"100% Cotton Solid Twill 
116x56/16x12",BANGLADESH,38.85,34.23,63.3255,76.44,0,10.5,50.61,0
FA15,WOVEN,Apparel,Jacket / Coat,Jacket / Coat - Jacket/Bomber,Men,WOVEN,"100% Cotton Solid Twill 
116x56/16x12",BANGLADESH,38.85,42,77.7,90.09,0,15.96,58.38,0
SP15,,Apparel,Swimwear,Swimwear - One-piece,Men,WOVEN,"100% Polyester
 143x96/150Dx75D
Fabric Width: 57/58""
Cuttable: 56""",BANGLADESH,24.15,23.94,27.531,30.45,0,0,30.45,0
SP15,,Apparel,Swimwear,Swimwear Bottom,Men,WOVEN,"100% Polyester
 143x96/150Dx75D
Fabric Width: 57/58""
Cuttable: 56""",BANGLADESH,24.15,32.55,37.4325,33.6,0,0,35.7,0
SP15,,Apparel,Swimwear,Swimwear - One-piece,Men,WOVEN,"100% Polyester
 143x96/150Dx75D
Fabric Width: 57/58""
Cuttable: 56""",BANGLADESH,24.15,28.56,32.844,28.35,0,0,38.85,0
SP15,,Apparel,Swimwear,Swimwear - One-piece,Men,WOVEN,"100% Polyester
 143x96/150Dx75D
Fabric Width: 57/58""
Cuttable: 56""",BANGLADESH,24.15,28.56,32.844,28.35,0,0,38.85,0
SP15,,Apparel,Swimwear,Swimwear Bottom,Men,WOVEN,"100% Polyester
 143x96/150Dx75D
Fabric Width: 57/58""
Cuttable: 56""",BANGLADESH,24.15,38.22,43.953,35.7,0,0,40.95,0
SP15,,Apparel,Swimwear,Swimwear Bottom,Men,WOVEN,"100% Polyester
 143x96/150Dx75D
Fabric Width: 57/58""
Cuttable: 56""",BANGLADESH,24.15,38.22,43.953,35.7,0,0,40.95,0
FA15,WOVEN,Apparel,Bottoms,Pants,Men,WOVEN,"100%cotton micro sanded canvas with water repellent,Construction -76x40/10x7,
Lining at pocket bag - T/C Pocketing for Pkt bags (White/Off white) ",BANGLADESH,55.44,42.84,113.0976,48.3,0,8.61,53.13,0
FA15,,Apparel,Bottoms,Pants,Men,WOVEN,"Body: 60% Cotton 40% Polyester Peach Twill,Construction : 145x74/32x16 


Contrast: 55%Cotton 45% Polyester Oxford,Construction: 100X48/45+45X12",BANGLADESH,45.15,21.42,46.053,41.37,0,0,42,0
FA15,,,,,Men,,60/40 Ctn Poly Jersey 180 gsm B/W & 195 gsm A/W (Solid ),,55.23,18.27,48.0501,12.6,0,0,17.01,0
FA15,,,,,Men,,"60/40 Ctn Poly Jersey 195 gsm 
58/38/4 Ctn Poly Spandex Rib 250 gsm 
(Sold and SD Hthr) ",,55.23,21.63,56.8869,18.27,0,0,17.01,0
FA15,,,,,Men,,"100% Cotton Y/D both side brushed flannel,Const - 64x54/x21x21",,30.66,43.176,63.03696,16.17,0,0,25.2,0
FA15,,,,,Men,,"100% Cotton Y/D both side brushed flannel,Const - 64x54/x21x21 (Heather Yarn)",,51.66,43.176,106.21296,16.17,0,0,25.2,0
FA15,WOVEN,Apparel,Tops,Shirt /Shirt with tie,Men,WOVEN,"100% Cotton Y/D both side brushed flannel,Const - 64x54/x21x21",BANGLADESH,30.66,52.29,76.3434,13.44,0,0,29.82,0
FA15,WOVEN,Apparel,Tops,Shirt /Shirt with tie,Men,WOVEN,"100% Cotton Y/D both side brushed flannel,Const - 64x54/x21x21 (Heather Yarn",BANGLADESH,51.66,52.29,128.6334,13.44,0,0,29.82,0
FA15,,,,,Women,,"98% Cotton 2% Spandex 16x21+21+70D/44x134, 21W Cord",,60.69,33.6,97.104,29.4,0,6.93,27.93,0
FA15,,,,,Women,,"98% Cotton 2% Spandex 16x21+21+70D/44x134, 21W Cord",,60.69,32.97,95.2833,28.98,0,6.93,27.93,0
FA15,WOVEN,Apparel,Tops,Shirt /Shirt with tie,Men,WOVEN,"60/40% CVC YD Heringbone 
CAD Ref# F15HXY106A.B.C, 120x80/45x45",BANGLADESH,33.18,46.2525,73.07895,36.12,0,6.93,67.83,4.2
FA15,WOVEN,Apparel,Tops,Shirt /Shirt with tie,Men,WOVEN,"60/40 CVC% YD Poplin, 120x80/45x45",BANGLADESH,29.4,46.9518,65.73252,33.6,0,6.93,45.57,4.2
FA15,WOVEN,Apparel,Tops,Shirt /Shirt with tie,Men,WOVEN,"100 % CTN Printed Poplin, 144x72/40x40",BANGLADESH,33.6,44.1,70.56,35.07,0,6.93,45.57,4.2
SP15,,Apparel,Swimwear,Swimwear - One-piece,Boys,WOVEN,75dx150d/150x96,BANGLADESH,33.6,17.01,27.216,22.05,0,0,23.1,0
SP15,,Apparel,Swimwear,Swimwear - One-piece,Boys,WOVEN,75dx150d/150x96,BANGLADESH,33.6,17.01,27.216,22.05,0,0,23.1,0
SU15,,Apparel,Jacket / Coat,Jacket / Coat - Jacket/Bomber,Girls,WOVEN,"100% ctn denim, 10 rsl + 12 oe X 10 oe / 71 X 51, 9.50 OZ,  56""",BANGLADESH,52.5,23.1,57.75,34.65,0,25.62,48.93,0
SU15,,Apparel,Jacket / Coat,Jacket / Coat - Jacket/Bomber,Girls,WOVEN,"99/1 Ctn/Spx Solid Slub twill 3/1 ""Z"" (White color) Weight: apprx 9.2 oz B/W
, 80x50/8+10x12+40D,  55""",BANGLADESH,62.37,23.52,69.8544,34.65,0,14.91,48.93,0
SU15,,Apparel,Bottoms,Pants,Girls,WOVEN,"55% Linen 45% Rayon solid plain weave, 54X38/10X10, 52""",BANGLADESH,42.42,15.54,31.3908,28.77,0,6.93,31.5,0
SU15,,Apparel,Bottoms,Pants,Girls,WOVEN,"55% Linen 45% Rayon allover printed, 54X38/10X10, 52""",BANGLADESH,49.77,15.54,36.8298,28.77,0,6.93,31.5,0
SU15,,Apparel,Bottoms,Pants,Girls,WOVEN,"55% Linen 45% Rayon solid plain weave, 54X38/10X10, 52""",BANGLADESH,42.42,19.824,40.04448,26.46,0,6.93,34.86,0
SU15,,Apparel,Bottoms,Pants,Girls,WOVEN,"55% Linen 45% Rayon allover printed, 54X38/10X10, 52""",BANGLADESH,49.77,19.74,46.7838,26.25,0,6.72,34.776,0
SU15,,Apparel,Bottoms,Pants,Girls,WOVEN,"100% Ctn peach twill reactive dye solid, 130X70/30X30, 56""",BANGLADESH,37.8,18.27,32.886,23.52,0,5.25,34.86,0
SU15,WOVEN,Apparel,Bottoms,Pants,Girls,WOVEN,"100% Ctn peach twill printed, 130X70/30X30, 56""",BANGLADESH,49.56,18.27,43.1172,23.52,0,5.25,34.86,0
SU15,,,,,Girls,,"100% Ctn peach twill reactive dye solid, 130X70/30X30, 56""",,37.8,23.1,41.58,21.21,0,5.25,38.22,0
SU15,,,,,Girls,,"100% Ctn peach twill printed, 130X70/30X30, 56""",,49.266,23.1,54.1926,21,0,5.166,36.75,0
SU15,WOVEN,Apparel,Bottoms,Pants,Girls,WOVEN,"100% Rayon Challis Solid, 30x30/68x68, 4.0 oz , 52""",BANGLADESH,30.45,15.12,21.924,16.8,0,4.62,21,0
SU15,WOVEN,Apparel,Bottoms,Pants,Girls,WOVEN,"100% Rayon Challis printed, 30x30/68x68, 4.0 oz , 52""",BANGLADESH,35.7,16.233,27.5961,16.8,0,4.704,21,0
SU15,WOVEN,Apparel,Bottoms,Pants,Girls,WOVEN,"100% Rayon Challis Solid, 30x30/68x68, 4.0 oz , 52""",BANGLADESH,30.45,16.8,24.36,15.75,0,3.36,22.68,0
SU15,WOVEN,Apparel,Bottoms,Pants,Girls,WOVEN,"100% Rayon Challis Solid, 30x30/68x68, 4.0 oz , 52""",BANGLADESH,30.45,17.094,24.7863,15.75,0,3.36,27.93,0
SU15,WOVEN,Apparel,Bottoms,Pants,Girls,WOVEN,"100% Rayon Challis printed, 30x30/68x68, 4.0 oz , 52""",BANGLADESH,35.7,18.354,31.2018,15.96,0,3.36,27.93,0
SU15,WOVEN,Apparel,Bottoms,Pants,Girls,WOVEN,"100% Rayon Challis Solid, 30x30/68x68, 4.0 oz , 52""",BANGLADESH,30.45,18.354,26.6133,16.044,0,3.444,27.93,0
SU15,,Apparel,Bottoms,Pants,Girls,KNIT,"95% cotton 5% spandex French Terry 260 gsm,  Width: 68"" ",BANGLADESH,75.6,16.8,60.48,30.45,0,9.66,48.93,0
SP15,,,,,Men,,"100% Polyester,180x96/150Dx75D
Fabric Width: 57/58""
Cuttable: 56""",,27.3,32.55,42.315,45.57,0,0,39.9,0
SP15,,,,,Men,,"100% Polyester,180x96/150Dx75D
Fabric Width: 57/58""
Cuttable: 56""",,27.3,33.18,43.134,39.9,0,0,38.85,4.515
SP15,,,,,Men,,"100% Polyester,180x96/150Dx75D
Fabric Width: 57/58""
Cuttable: 56""",,27.3,32.34,42.042,37.8,0,0,38.85,0
SP15,,Apparel,Swimwear,Swimwear - One-piece,Men,WOVEN,"100% Polyester,180x96/150Dx75D
Fabric Width: 57/58""
Cuttable: 56""",BANGLADESH,27.3,31.71,41.223,36.75,0,0,36.75,4.515
SP15,,Apparel,Swimwear,Swimwear - One-piece,Men,WOVEN,"100% Polyester,180x96/150Dx75D
Fabric Width: 57/58""
Cuttable: 56""",BANGLADESH,27.3,31.08,40.404,36.75,0,0,35.7,0
